"id","pmid","autor_jahr","abstract"
11,"42347460","Mendez-Dominguez N (2026)","11. Sports (Basel). 2026 Jun 8;14(6):236. doi: 10.3390/sports14060236.

Interventions Related to Menstrual Health and Menstrual-Cycle-Associated 
Symptoms in Female Athletes: Implications for Recovery and Athletic Performance.

Mendez-Dominguez N(1), Estrella-Castillo D(2), Villarreal-Jimenez E(1)(2), 
Arcila-Novelo R(2).

Author information:
(1)Hospital Regional de Alta Especialidad de la Peninsula de Yucatan, Servicios 
de Salud del Instituto Mexicano del Seguro Social para el Bienestar 
IMSS-BIENESTAR, Merida 97130, Mexico.
(2)Facultad de Medicina, Universidad Autonoma de Yucatan, Merida 97000, Mexico.

BACKGROUND: Menstrual-cycle-associated symptoms and menstrual health conditions 
are common among female athletes and may influence recovery, perceived 
readiness, training availability, and athletic performance. However, evidence 
regarding interventions aimed at managing these symptoms and their functional 
implications in athletes remains limited and heterogeneous.
OBJECTIVE: The objective of this study is to synthesize the available evidence 
on pharmacological and non-pharmacological interventions related to menstrual 
health and menstrual-cycle-associated symptoms in female athletes and to 
evaluate their impact on performance, recovery, functional capacity, and symptom 
burden.
MATERIALS AND METHODS: A systematic review with narrative synthesis was 
conducted following PRISMA 2020 guidelines. Studies evaluating interventions 
associated with menstrual health or menstrual-cycle-related symptoms in female 
athletes were included when they reported outcomes related to athletic 
performance, recovery, functional capacity, or symptom burden.
RESULTS: Five studies published between 2023 and 2025 were included. The 
interventions evaluated included hormonally related strategies involving oral 
contraceptive timing, recovery interventions such as cryotherapy, 
mindfulness-based yoga, nutritional supplementation, and pharmacological 
pain-modulation approaches. However, findings regarding objective athletic 
performance outcomes were inconsistent, and the included studies showed 
substantial methodological heterogeneity.
CONCLUSIONS: The available evidence suggests that certain interventions related 
to menstrual health may contribute to improvements in symptom burden, perceived 
recovery, or selected functional outcomes in female athletes. Nevertheless, the 
current evidence base remains limited, heterogeneous, and insufficient to 
support strong performance-related recommendations. Further high-quality studies 
specifically designed in female athlete populations are needed to inform 
evidence-based sports medicine practice.

DOI: 10.3390/sports14060236
PMCID: PMC13306975
PMID: 42347460

Conflict of interest statement: The authors declare no conflicts of interest."
12,"42346377","Martini SE (2026)","12. Metabolites. 2026 Jun 8;16(6):397. doi: 10.3390/metabo16060397.

Plasma Metabolite Profiles of Exercising American Foxhound Dogs Fed Different 
Diets.

Martini SE(1), de Godoy MRC(1), Beloshapka AN(1), Buff PR(2), Swanson 
KS(1)(3)(4).

Author information:
(1)Department of Animal Sciences, University of Illinois Urbana-Champaign, 
Urbana, IL 61801, USA.
(2)The Nutro Company, Franklin, TN 37067, USA.
(3)Division of Nutritional Sciences, University of Illinois Urbana-Champaign, 
Urbana, IL 61801, USA.
(4)Department of Veterinary Clinical Medicine, University of Illinois 
Urbana-Champaign, Urbana, IL 61801, USA.

Background/Objectives: Canine athletes have a higher energy requirement and are 
more susceptible to nutrient depletion, electrolyte imbalance, and metabolic 
stress than sedentary pets. The objective of this study was to characterize the 
plasma metabolome of American Foxhound dogs following a bout of unstructured 
exercise. Methods: Thirty-nine adult American Foxhound dogs (32 intact males, 7 
spayed females; age: 6.2 ± 3.1 yr; BW: 36.3 ± 5.3 kg) were allotted to a 
standard performance diet (CTRL) or NUTRO® Natural Choice® Adult High Endurance 
Formula (TEST). After 80 d in the study, blood samples were collected prior to 
(0 h), and 3 h and 25 h post-exercise (average: 17.7 km run over 2-3 h). Plasma 
samples of the 10 top performers of each treatment group were analyzed for 
untargeted metabolite profiling. Results: Of the 566 named metabolites 
identified, >200 and >185 metabolites were impacted (p < 0.05) by exercise and 
diet, respectively. Principal component analysis indicated distinct clustering 
by diet. Random forest analysis highlighted several metabolites having a high 
degree of predictive accuracy based on diet and exercise, with most related to 
amino acid, lipid, xenobiotic, and cofactor and vitamin metabolism. Relating to 
exercise, glycolytic end-products and citric acid cycle intermediates were 
increased at 3 h post-exercise. Similarly, tocopherols and omega-3 
polyunsaturated fatty acids were higher in dogs fed TEST than those fed CTRL 
during recovery, indicating a lower oxidative stress and anti-inflammatory 
response. Conclusions: Overall, the data suggest a protective effect (lower 
susceptibility to oxidative stress and muscle fatigue) of feeding a 
nutrient-fortified diet for dogs undergoing unstructured exercise.

DOI: 10.3390/metabo16060397
PMCID: PMC13303894
PMID: 42346377

Conflict of interest statement: Preston R. Buff is employees The Nutro Company. 
The paper reflects the views of the scientists, and not the company."
13,"42340141","Vargas-Molina S (2026)","13. Scand J Med Sci Sports. 2026 Jul;36(7):e70327. doi: 10.1111/sms.70327.

Comparison of Repetition-Based Progressive-Overload Strategies in Resistance 
Training: Rest-Pause Versus Drop Sets.

Vargas-Molina S(1)(2), García-Palumbo A(3), Petro JL(2)(4), Bonilla DA(2)(4), 
García-Sillero M(1), Carbone L(5), Schoenfeld BJ(6), Benítez-Porres J(1)(7).

Author information:
(1)Physical Education and Sport Area, Faculty of Medicine, University of Málaga, 
Málaga, Spain.
(2)Research Group in Elite Sports Performance (DBSS-HiPer), Dynamical Business & 
Science Society-DBSS International SAS, Bogotá, Colombia.
(3)Universidad Maimonides, Buenos Aires, Argentina.
(4)Research Group in Physical Activity, Sports and Health Sciences (GICAFS), 
Universidad de Córdoba, Montería, Colombia.
(5)Universidad El Salvador, Buenos Aires, Argentina.
(6)Department of Exercise Science and Recreation, CUNY Lehman College, Bronx, 
New York, USA.
(7)Instituto de Investigación Biomédica de Málaga y Plataforma en 
Nanomedicina-IBIMA, Plataforma BIONAND, Málaga, Spain.

Rest-pause (RP) and drop sets (DS) are widely used as intensification strategies 
during resistance training. However, their incorporation within a 
repetition-based progressive-overload (PO) model and their effects under 
supervised conditions are not well established. We compared progressive-overload 
rest-pause (PO-RP) with progressive-overload drop-set (PO-DS) training, 
assessing changes in body composition and maximal strength in resistance-trained 
adults. Twenty-three participants (20 men and 3 women; 29.1 [5.9] years; 25.0 
[3.1] kg/m2) were randomized to either PO-RP (n = 12) or PO-DS (n = 11). After a 
1-week familiarization phase, both groups trained twice weekly for 8 weeks under 
supervision while following a prescribed nutritional protocol. Pre/post measures 
of body composition were assessed by DXA, and maximal strength was evaluated by 
the one-repetition maximum (1-RM) bench press. Adiposity-related outcomes (total 
and upper-body fat mass, and total and upper-body fat-free adipose tissue) 
remained essentially unchanged in both protocols (all group × time p > 0.05). 
Lean soft tissue mass increased in PO-DS (Δ = 1.4 kg; 95% CI, 0.8-2.2; 
p < 0.001; g = 0.1) and PO-RP (Δ = 1.2 kg; 95% CI, 0.8-2.0; p < 0.001; g = 0.1), 
with no between-protocol difference in change (group × time p = 0.688). Bench 
press 1-RM increased in both protocols (PO-DS: Δ = 12.3 kg; 95% CI, 9.6-14.0; 
p < 0.001; g = 0.7; PO-RP: Δ = 9.5 kg; 95% CI, 7.3-11.2; p < 0.001; g = 0.4), 
without a statistically significant group × time effect (p = 0.086). Under 
supervised training and a standardized nutritional protocol, PO-RP and PO-DS 
produced comparable adaptations. Adiposity-related outcomes remained stable, 
fat-free compartment measures increased, and maximal strength improved, with no 
statistically significant between-protocol differences in change. Future 
research should determine whether these adaptations are maintained over longer 
interventions and whether responses differ across populations with different 
characteristics, including women, older adults, clinical populations, or 
individuals with different training experience. Further studies incorporating 
larger samples, direct assessments of muscle hypertrophy, additional strength 
outcomes, and mechanistic measures of fatigue and recovery may help refine the 
application of advanced resistance-training strategies in evidence-based 
exercise programs.

© 2026 The Author(s). Scandinavian Journal of Medicine & Science In Sports 
published by John Wiley & Sons Ltd.

DOI: 10.1111/sms.70327
PMCID: PMC13292392
PMID: 42340141 [Indexed for MEDLINE]

Conflict of interest statement: D.A.B. has conducted academic‐sponsored research 
in sport and exercise sciences, serves as an NSCA Latam board member, and has 
received honoraria for speaking on exercise sciences at international 
conferences and private courses. B.J.S. formerly served on the scientific 
advisory board for Tonal Corporation, a manufacturer of fitness equipment. The 
remaining authors declare no conflicts of interest."
14,"42339703","Lu F (2026)","14. Physiother Res Int. 2026 Jul;31(3):e70264. doi: 10.1002/pri.70264.

Effects of Insomnia, Anxiety and Depression on Clinical Outcomes of Frozen 
Shoulder After Manipulation Under Anesthesia.

Lu F(1), Hu Z(1), Shen L(2), Hu Y(1)(3)(4)(5)(6)(7), Wang X(1)(3)(4)(5)(6)(7), 
Wang X(1), Ruan D(1)(3)(4)(5)(6)(7), Liu H(1)(3)(4)(5)(6)(7), Cai 
H(1)(3)(4)(5)(6)(7), Shen W(1)(3)(4)(5)(6)(7)(8).

Author information:
(1)Department of Sports Medicine & Orthopedic Surgery, The Second Affiliated 
Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
(2)Air Force Health Care Center for Special Services, Hangzhou, Zhejiang, China.
(3)Institute of Sports Medicine, Zhejiang University, Hangzhou, Zhejiang, China.
(4)Orthopedics Research Institute of Zhejiang University, Hangzhou, Zhejiang, 
China.
(5)Key Laboratory of Motor System Disease Research and Precision Therapy of 
Zhejiang Province, Hangzhou, Zhejiang, China.
(6)Clinical Research Center of Motor System Disease of Zhejiang Province, 
Hangzhou, Zhejiang, China.
(7)Dr. Li Dak Sum & Yip Yio Chin Center for Stem Cell and Regenerative Medicine, 
Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
(8)China Orthopedic Regenerative Medicine Group, CORMed, Hangzhou, Zhejiang, 
China.

BACKGROUND AND PURPOSE: Frozen shoulder is a common disorder causing pain, 
stiffness, disability, and sleep disturbance. While often linked to 
psychological comorbidities, the impact of preoperative mental health and 
insomnia on recovery outcomes remains unclear. The purpose of this study was to 
investigate the effects of preoperative anxiety, depression, and insomnia on 
postoperative recovery in patients undergoing manipulation under anesthesia 
(MUA) for frozen shoulder.
METHODS: This study was a secondary analysis of a prospective observational 
cohort study. A total of 197 patients with primary frozen shoulder were enrolled 
and treated with MUA. Preoperatively, the Insomnia Severity Index (ISI) and 
Hospital Anxiety and Depression Scale (HADS) classified patients: 33 with 
clinical insomnia (ISI ≥ 15) and 45 with psychological distress (PD, including 
anxiety or depression, HADS anxiety ≥ 8 and depression ≥ 8). Shoulder passive 
range of motion (ROM), pain (visual analog scale, VAS), and functional scores 
(Constant-Murley Score [CMS], Oxford Shoulder Score [OSS]) were assessed at 3 
and 6 months postoperatively. Outcomes were compared between patients 
with/without insomnia or PD. To control for multiple comparisons, all p-values 
were adjusted using the False Discovery Rate (FDR) method.
RESULTS: In the insomnia analysis, the insomnia group had a significantly lower 
proportion of male patients (12.1% vs. 28.7%, p = 0.048) and a lower mean BMI 
(22.0 ± 2.4 vs. 23.0 ± 2.7, p = 0.033) compared to the group without insomnia. 
Furthermore, baseline abduction was significantly more restricted in the 
insomnia group (67.2° ± 21.9 vs. 81.8° ± 24.8, p = 0.001) and OSS was 
significantly worse (38.5 ± 8.1 vs. 32.6 ± 5.5, p < 0.001). Preoperative PD was 
more common in right-side cases (60.0% vs. 42.8%, p = 0.042) and was associated 
with worse baseline external rotation. Following MUA, all patient groups 
achieved substantial clinical improvement. At 3 and 6 months postoperatively, 
after FDR adjustment, there were no statistically significant or clinically 
meaningful differences in ROM, VAS, CMS, or OSS between patients with and 
without insomnia, nor between patients with and without PD. All observed mean 
differences between groups were small and fell well below established minimal 
clinically important difference (MCID) thresholds (e.g., at 6 months, CMS mean 
difference between PD and no PD was 1.84 [95% CI -0.92 to 4.60]; adjusted 
p = 0.796).
DISCUSSION: Although preoperative clinical insomnia and PD are associated with 
worse baseline pain and functional presentation, they were not associated with 
poorer postoperative recovery following MUA in this cohort. At the 3 and 
6 months postoperative follow-ups, there were no statistical differences in pain 
or ROM between patients with and without these preoperative conditions.

© 2026 John Wiley & Sons Ltd.

DOI: 10.1002/pri.70264
PMID: 42339703 [Indexed for MEDLINE]"
15,"42335114","Lockie RG (2026)","15. J Strength Cond Res. 2026 Jul 1;40(7):815-821. doi: 
10.1519/JSC.0000000000005412.

Relationships Between Isometric Midthigh Pull, Body Mass, Countermovement Jump, 
Upper-Body Muscular Endurance, and Intermittent Running With Job Task 
Performance in Firefighter Trainees.

Lockie RG(1), Dawes JJ(2)(3), Campana T(1), Kramer J(1), Orr RM(4), Romero M(5).

Author information:
(1)Department of Kinesiology, California State University, Fullerton, Fullerton, 
California.
(2)Department of Health and Human Performance, Oklahoma State University, 
Stillwater, Oklahoma.
(3)Tactical Fitness and Nutrition Lab, Oklahoma State University, Stillwater, 
Oklahoma.
(4)Tactical Research Unit, Bond University, Robina, Queensland, Australia; and.
(5)Seattle Fire Department, Seattle, Washington.

Lockie, RG, Dawes, JJ, Campana, T, Kramer, J, Orr, RM, and Romero, M. 
Relationships between isometric midthigh pull, body mass, countermovement jump, 
upper-body muscular endurance, and intermittent running with job task 
performance in firefighter trainees. J Strength Cond Res 40(7): 815-821, 
2026-Maximal strength is essential for firefighters but may be challenging to 
measure in this population because of time constraints, injury risk, and ability 
variations. The isometric midthigh pull (IMTP) could provide a safe and 
expedient strength measure. Retrospective analysis of data from 47 firefighter 
trainees (41 men, 6 women) was used to examine relationships between body mass, 
IMTP, and other general fitness tests (countermovement jump, hand release 
push-ups, and Yo-Yo Intermittent Recovery Test Level 1 [YYIRT1]) with 
job-specific tasks. In addition to the general fitness tests, trainees completed 
the job-specific tests of the 40-m, 100.5-kg manikin drag, 10.67-m ladder 
extension, and 5-lap stair climb wearing a 12.9-kg self-contained breathing 
apparatus while carrying a 24.9-kg, 30.5-m long hose pack. Pearson's 
correlations derived relationships between body mass, and general fitness and 
job-specific tests (p < 0.05). Stepwise regression derived predictive 
relationships between body mass and the general and job-specific fitness tests 
(p < 0.05). Body mass (r = -0.517), IMTP (r = -0.622), and YYIRT (r = -0.384) 
significantly correlated with the manikin drag. Body mass (r = -0.392) and IMTP 
(r = -0.560) significantly correlated with the ladder extension. The manikin 
drag was significantly predicted by IMTP, body mass, and YYIRT1, with ∼52% 
explained variance. The ladder extension was significantly predicted by the IMTP 
(∼30% explained variance). The stair climb had no significant relationships. 
Maximal strength is needed for the manikin drag and ladder extension and could 
be especially important for lighter firefighters to move absolute loads. The 
IMTP could help predict performance in firefighter job tasks, although other 
factors such as technique would be important.

Copyright © 2026 National Strength and Conditioning Association.

DOI: 10.1519/JSC.0000000000005412
PMID: 42335114 [Indexed for MEDLINE]"
16,"42329354","Muszyński T (2026)","16. J Egypt Natl Canc Inst. 2026 Jun 22;38(1):36. doi:
10.1186/s43046-026-00367-6.

Metabolic and nutritional impact of gastrectomy and perioperative treatment in 
gastric cancer: a prospective cohort study.

Muszyński T(1), Jędrychowski T(2), Witalewska A(3), Gawlewicz-Czepiel A(3), 
Polak K(4), Spieszny M(5), Richter P(2), Szczepanik A(6), Piotr K(2).

Author information:
(1)Medical College, Doctoral School of Medical and Health Sciences, Jagiellonian 
University, St. Anne Street 11, Krakow, 31-008, Poland. 
thomasmuszynski@gmail.com.
(2)Medical College, Ist Chair of General Surgery, Department of General, 
Oncological, Gastrointestinal Surgery and Transplantology, University Hospital 
in Krakow, Jagiellonian University, Jakubowskiego 2, Krakow, 30-688, Poland.
(3)Medical College, Jagiellonian University, Krakow, Poland.
(4)Chair and Department of Dermatology, Medical University of Silesia, Francuska 
Street 20-24, Katowice, 40-027, Poland.
(5)Institute of Sports Sciences, University of Physical Culture in Krakow, 
Krakow, Poland.
(6)Medical College, 3rd Chair of General Surgery, Jagiellonian University, 
Pradnicka Street 35, Krakow, 31- 202, Poland.

BACKGROUND: Gastrectomy due to gastric cancer leads to metabolic alterations in 
body composition, significantly affecting nutritional status. This prospective 
study aimed to investigate the metabolic effects of gastrectomy and 
perioperative treatment on the nutritional status of gastric cancer patients.
METHODS: A total of 37 patients diagnosed with gastric cancer, treated with 
perioperative chemotherapy, without evidence of dissemination or metastasis, 
were included in the study. Demographic data, Body Mass Index, full blood count 
parameters, lipid profiles, vitamin B12, vitamin D, iron levels, albumin, 
prealbumin, total serum protein concentration, bioimpedance parameters, physical 
activity levels, quality of life, Prognostic Nutritional Index, 
neutrophil-to-lymphocyte ratio, and systemic immune-inflammation index were 
assessed preoperatively and at two follow-ups (6 and 12 months post-surgery) for 
each patient.
RESULTS: Significant changes were observed across the analyzed parameters, 
demonstrating the metabolic impact of gastrectomy and perioperative systemic 
treatment on the nutritional status of gastric cancer patients.
CONCLUSIONS: The study provides a comprehensive evaluation of the long-term 
nutritional status of gastric cancer patients post-gastrectomy, offering 
valuable insights into postoperative metabolic and dietary adaptations. Obtained 
results underscore the dynamic physiological adaptations following gastric 
resection, emphasizing the importance of nutritional and metabolic monitoring 
for long-term recovery. Targeted rehabilitation strategies and micronutrient 
supplementation are crucial in reducing postoperative complications and 
improving patient outcomes.

© 2026. The Author(s).

DOI: 10.1186/s43046-026-00367-6
PMID: 42329354 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Ethics approval and consent to 
participate: Ethical approval was obtained (Jagiellonian University Ethics 
Committee, No. 1072.6120.60.2021), and all participants gave informed consent. 
Consent for publication: Not applicable. Competing interests: The authors 
declare no competing interests."
17,"42329189","Hudy A (2026)","17. J Strength Cond Res. 2026 Jun 22. doi: 10.1519/JSC.0000000000005573. Online 
ahead of print.

The Adaptive Spiral of Collegiate Basketball Performance: A Multiseason 
Framework Integrating Load, Recovery, and Return-to-Performance.

Hudy A(1), Kraemer WJ(2)(3), Shah J(1)(4)(5), Burland JP(4)(5), Glaviano 
NR(4)(5), Huggins RA(4)(5), Fields JB(6), Baldwin AJ(7), Casa DJ(4)(5).

Author information:
(1)Departments of Athletics.
(2)Kinesiology, University of Connecticut, Storrs, Connecticut.
(3)Department of Human Sciences, Department of Athletics, The Ohio State 
University, Columbus, Ohio.
(4)Department of Kinesiology, Korey Stringer Institute, University of 
Connecticut, Storrs, Connecticut.
(5)Department of Kinesiology, Institute for Sports Medicine, University of 
Connecticut, Storrs, Connecticut.
(6)Department of Nutritional Sciences, University of Connecticut, Storrs, 
Connecticut; and.
(7)Get Your Head In The Game, Newark, Delaware.

Hudy, A, Kraemer, WJ, Shah, J, Burland, JP, Glaviano, NR, Huggins, RA, Fields, 
JB, Baldwin, AJ, and Casa, DJ. The adaptive spiral of collegiate basketball 
performance: a multiseason framework integrating load, recovery, and 
return-to-performance. J Strength Cond Res XX(X): 000-000, 2026-Basketball 
performance emerges from dynamic interactions among mechanical load, tissue 
remodeling, neuromechanical regulation, and psychological readiness. Traditional 
load-management and return-to-play models provide structural guidance but often 
lack integration across biological and contextual systems within season-dense 
environments. The purpose of this manuscript is to present and operationalize 
the Adaptive Spiral (AS) and Return-to-Performance (RTPerf) framework as a 
monitoring-informed model of readiness regulation in NCAA Division I women's 
basketball. Across three competitive seasons, longitudinal external-load metrics 
(e.g., PlayerLoad·min-1, monotony), neuromechanical indices (e.g., 
countermovement jump variability, sway velocity), and perceptual measures were 
integrated within NCAA seasonal constraints to examine phase-based adaptation. 
The AS conceptualizes readiness as a recursive process unfolding through 
Restore, Build, Prime, Compete, and Recalibrate phases, whereas RTPerf 
operationalizes daily regulation of capacity, resilience, and performance 
expression. Longitudinal patterns demonstrated sustained high-intensity exposure 
with stabilized monotony and reduced neuromechanical variability across 
competitive phases, reflecting improved alignment between load progression, 
recovery distribution, and competitive readiness. These findings support a 
history-dependent model in which protection and performance are coregulated 
rather than sequential. By integrating objective monitoring, perceptual 
readiness, and contextual demands, the AS/RTPerf framework provides a structured 
approach for synchronizing adaptation within season-dense collegiate basketball 
environments, shifting performance management from reactive adjustment to 
proactive regulation.

Copyright © 2026 National Strength and Conditioning Association.

DOI: 10.1519/JSC.0000000000005573
PMID: 42329189"
18,"42326903","Feng Y (2026)","18. Front Public Health. 2026 Jun 4;14:1835119. doi: 10.3389/fpubh.2026.1835119. 
eCollection 2026.

Post-shift recovery sleep duration and its association with daytime sleepiness 
among night-shift nurses: a repeated-measures observational study.

Feng Y(1), Feng L(2), Shi W(1).

Author information:
(1)Department of Anesthesiology, Tangdu Hospital, The Fourth Military Medical 
University, Xi'an, China.
(2)School of Physical Education & Sports Science, South China Normal University, 
Guangzhou, China.

OBJECTIVE: To examine the association between post-shift recovery sleep duration 
and daytime sleepiness among night-shift nurses.
METHODS: A repeated-measures observational study among night-shift nurses in a 
tertiary hospital. Data were collected between September and November 2025. 
Post-shift recovery sleep duration, defined as sleep obtained within 24 h after 
completing a night shift, was categorized as 0 h, <2 h, 2-4 h, or ≥4 h. Daytime 
sleepiness was assessed using the Epworth Sleepiness Scale (ESS). Linear 
mixed-effects models with random intercepts were applied to evaluate 
associations while controlling for sex, working unit, night-shift workload, 
caffeine intake during night shifts, and insomnia severity.
RESULTS: Recovery sleep duration was associated with daytime sleepiness across 
sleep-duration categories. Nurses reporting 2-4 h of recovery sleep had the 
highest ESS scores compared with those reporting no recovery sleep (ES, ±95% CI: 
0.5, ±0.29; p < 0.001), <2 h (2.76, ±0.23; p < 0.001) or ≥4 h (1.62, ±0.25; p < 
0.001). This pattern was generally consistent across clinical units, although 
differences were attenuated in high-acuity settings such as emergency, intensive 
care, and operating room units.
CONCLUSIONS: Post-shift recovery sleep duration was associated with daytime 
sleepiness among night-shift nurses, with intermediate recovery sleep duration 
(2-4 h) showing the highest ESS scores. Because recovery sleep duration was 
self-reported and the study design limits causal inference, these findings 
should be interpreted as associations rather than evidence of causality. Fatigue 
risk management strategies should consider not only sleep duration but also the 
quality and context of post-shift recovery.

Copyright © 2026 Feng, Feng and Shi.

DOI: 10.3389/fpubh.2026.1835119
PMCID: PMC13281720
PMID: 42326903 [Indexed for MEDLINE]

Conflict of interest statement: The author(s) declared that this work was 
conducted in the absence of any commercial or financial relationships that could 
be construed as a potential conflict of interest."
19,"42326567","Maksym V (2026)","19. Arch Rehabil Res Clin Transl. 2026 Mar 21;8(2):100615. doi: 
10.1016/j.arrct.2026.100615. eCollection 2026 Jun.

Resistance Exercise as a Dual-Target Strategy in Physical Therapy: Reducing 
Depressive Symptoms to Improve Rehabilitation Participation and Outcomes.

Maksym V(1).

Author information:
(1)Department of Physical Rehabilitation and Sports Medicine, Lviv State 
University of Physical Culture named after Ivan Boberskyi, Lviv, Ukraine.

Depressive symptoms are prevalent in physical therapy and rehabilitation 
populations and can act as a limiting factor for rehabilitation participation 
and outcomes across diagnoses. Even when not meeting criteria for major 
depressive disorder, elevated depressive symptoms can undermine rehabilitation 
participation through reduced motivation, impaired self-regulation, sleep 
disturbance, fatigue, low perceived control, and avoidance of effort or 
movement. Although referral pathways for mental health care remain essential, 
access barriers and stigma commonly delay help-seeking. This Special 
Communication argues that resistance exercise can be positioned in physical 
therapy as a dual-target intervention: supporting functional recovery while 
concurrently engaging mood-relevant mediators that influence rehabilitation 
participation and outcomes. Beyond physiological adaptations, resistance 
training provides rapid and measurable experiences of mastery and agency (eg, 
progressive increases in repetitions, time under tension, or load), which may 
strengthen self-efficacy and perceived control, reduce helplessness, and improve 
tolerance to discomfort through graded exposure to effort. These mediators are 
clinically relevant because they map directly onto modifiable drivers of 
adherence, persistence, and dropout risk in rehabilitation. Pragmatic, 
safety-oriented principles are outlined for prescribing resistance exercise 
across settings (clinic- or home-based; minimal equipment), including techniques 
to maximize early achievable success, simplify programs to reduce cognitive 
load, apply symptom- and fatigue-guided progression, and monitor engagement 
outcomes. Scope of practice boundaries and red flags requiring timely referral 
are also discussed. Future work should test implementation strategies and 
quantify whether targeting mood-related mediators through resistance exercise 
improves both depressive symptoms and rehabilitation endpoints, including 
adherence, functional outcomes, and return to valued activities.

© 2026 The Authors.

DOI: 10.1016/j.arrct.2026.100615
PMCID: PMC13282817
PMID: 42326567"
20,"42326144","Sundresh N (2026)","20. Cureus. 2026 May 20;18(5):e109312. doi: 10.7759/cureus.109312. eCollection
2026  May.

Low Energy Availability in Male Indian Athletes: A Cross-Sectional Study.

Sundresh N(1), Premkumar SVD(1), Raman SA(1), K R R(1), Keddin Alwar T(1), 
Sivaraman A(1), Baig S(1), Ethirajan P(1).

Author information:
(1)Arthroscopy and Sports Medicine, Sri Ramachandra Institute of Higher 
Education and Research, Chennai, IND.

BACKGROUND: Low energy availability (LEA) is a mismatch between dietary energy 
intake and training-related expenditure that can impair performance, recovery, 
endocrine function, bone health, and overall athlete well-being; it is most 
often expected in endurance, weight-category, and physique-sensitive sports but 
can occur across disciplines. In male athletes, LEA is under-recognized because 
symptoms are subtle and non-specific and are frequently attributed to training 
fatigue. Because abrupt workload fluctuations may further strain recovery, the 
acute to chronic workload ratio (ACWR) provides a practical field marker of 
recent load spikes and a rationale for examining workload alongside LEA 
screening.
OBJECTIVE: To determine the occurrence of LEA in young Indian athletes with the 
LEAM-Q questionnaire and determine the association with Acute on Chronic 
Workload Ratio (ACWR).
METHODS: This cross-sectional analysis included 30 male athletes (18-35 years) 
from boxing, judo, and weightlifting. LEAM-Q responses were screened using the 
validated sex drive criterion. ACWR was calculated as (7-day workload x weekly 
RPE)/([monthly workload/4] x monthly RPE). Descriptive statistics were reported 
as mean ± standard deviation or median (IQR), and between-group comparisons were 
performed using the chi-square test, Fisher's exact test, Mann-Whitney U test, 
and Spearman rank correlation as appropriate (p<0.05).
RESULTS: Twelve athletes (40.0%) screened positive for LEA. Screen positivity 
differed significantly by sport: boxing 3/14 (21.4%), judo 3/8 (37.5%), and 
weightlifting 6/8 (75.0%) (chi-square=6.12, p=0.047; Cramer's V=0.45). 
Weightlifting athletes had higher odds of screening positive than 
non-weightlifters (Fisher's exact OR 8.0, p=0.034). The median sex-drive score 
was 3 (IQR 2-4). Median ACWR was 0.89 (IQR 0.75-1.00); 9 athletes (30.0%) were 
below the normal range, 19 (63.3%) were within the normal range (0.8-1.3), and 2 
(6.7%) were above the high-risk threshold (>1.3). ACWR did not differ between 
LEA screen-positive and screen-negative athletes (median 0.89 vs. 0.89; p=0.966) 
and showed no correlation with LEAM-Q score (Spearman rho=0.05, p=0.805).
CONCLUSION: LEAM-Q identified a substantial burden of low energy availability 
risk in this cohort of young Indian male athletes, with the strongest signal in 
weightlifting and the most consistent abnormalities in sex drive items. ACWR was 
largely within the normal range and did not differentiate screen-positive 
athletes in this sample. These findings support routine LEAM-Q-based screening 
in male athletes, especially in weight-sensitive sports, and reinforce the need 
for early nutritional and clinical evaluation when the screen is positive.

Copyright © 2026, Sundresh et al.

DOI: 10.7759/cureus.109312
PMCID: PMC13282167
PMID: 42326144

Conflict of interest statement: Human subjects: Informed consent for treatment 
and open access publication was obtained or waived by all participants in this 
study. Sri Ramachandra Institutional Ethical Committee issued approval 
CSP-MED/25/MAY/115/74. Animal subjects: All authors have confirmed that this 
study did not involve animal subjects or tissue. Conflicts of interest: In 
compliance with the ICMJE uniform disclosure form, all authors declare the 
following: Payment/services info: All authors have declared that no financial 
support was received from any organization for the submitted work. Financial 
relationships: All authors have declared that they have no financial 
relationships at present or within the previous three years with any 
organizations that might have an interest in the submitted work. Other 
relationships: All authors have declared that there are no other relationships 
or activities that could appear to have influenced the submitted work."
